Flight_Time_s,T_Climb_s,T_Hover_s,T_Dash_s,T_Loiter_s,T_Fig8_s,T_Land_s,Payload_kg,Wind_ms,Cruise_Alt_m,Avg_Speed_ms,SOC_Start,SOC_End,Battery_Consumed_Pct
2915,83,1969,306,265,221,71,1.718424934,3,86,3.015688335,100,65.71648405,34.28351595
3052,67,1876,304,389,328,88,4.252443973,3,91,3.037235714,100,37.20762479,62.79237521
2925,80,1845,269,356,335,40,5.894794975,6,69,3.608232217,100,20.14259262,79.85740738
2656,59,1785,294,207,235,76,4.014012764,17,84,2.604865083,100,47.81065759,52.18934241
2603,56,1766,237,257,218,69,2.492687803,7,79,3.088866756,100,62.78697308,37.21302692
2615,52,1709,247,223,322,62,5.052855245,9,88,3.799415785,100,37.85940725,62.14059275
2721,55,1614,317,308,374,53,5.802640887,15,78,4.015800825,100,26.75522179,73.24477821
2786,73,1721,305,399,243,45,2.274894517,17,73,3.961962145,100,62.19939956,37.80060044
2917,96,1973,238,227,339,44,1.913343911,8,64,3.192307161,100,63.88487937,36.11512063
2066,61,1150,317,252,208,78,4.94723742,16,81,4.28359291,100,52.01083832,47.98916168
1940,66,1019,266,285,254,50,4.375615035,13,69,4.618433283,100,59.37245476,40.62754524
2366,63,1216,358,390,265,74,4.294489161,17,93,4.869503848,100,50.97764368,49.02235632
2182,75,1154,240,281,350,82,6.917753871,15,77,4.995304572,100,30.87943428,69.12056572
2424,51,1495,229,211,370,68,3.570407595,11,92,2.824357651,100,56.41965776,43.58034224
3081,77,1990,306,296,361,51,6.028336804,11,98,4.445817582,100,13.32492502,86.67507498
2818,45,1626,332,346,379,90,7.355541175,11,80,4.846292197,100,0.01,99.99
2214,91,1209,311,326,206,71,5.279402171,17,91,3.642263547,100,45.61772047,54.38227953
2645,42,1635,256,308,339,65,1.821961764,10,74,2.970620819,100,68.15284263,31.84715737
2672,74,1640,283,241,390,44,4.393690574,4,81,4.448684913,100,43.46301178,56.53698822
2387,85,1063,372,387,397,83,2.423267292,4,64,5.137867068,100,66.5693067,33.4306933
2301,58,1333,293,330,205,82,4.836953221,5,92,3.265768426,100,47.52051071,52.47948929
2350,94,1118,398,308,342,90,7.05164967,7,82,4.240198984,100,24.06510036,75.93489964
2394,43,1522,267,235,241,86,4.194396503,9,71,3.719731957,100,51.41887436,48.58112564
2266,76,1300,226,242,379,43,4.545043299,17,87,4.304035575,100,50.91537037,49.08462963
2136,67,1101,400,266,259,43,1.849403549,9,69,4.217590554,100,74.07240245,25.92759755
2536,95,1534,221,365,267,54,1.801283222,10,72,3.735610967,100,69.53889173,30.46110827
2347,87,1288,339,311,279,43,1.567188019,2,90,4.795755405,100,73.39167848,26.60832152
2708,94,1799,347,210,214,44,3.694295116,12,91,3.151451801,100,50.00632571,49.99367429
2780,60,1654,350,317,348,51,7.629552907,13,92,3.549744294,100,0.01,99.99
2319,88,1368,241,217,355,50,7.808890413,16,90,3.363280683,100,16.495409,83.504591
2144,57,1237,306,218,281,45,5.086560458,5,75,4.143021985,100,48.98158892,51.01841108
2621,66,1656,222,387,237,53,6.59878129,6,64,4.031731452,100,20.31989435,79.68010565
2581,67,1610,211,263,355,75,4.66942454,15,92,2.921674011,100,42.84356681,57.15643319
2395,46,1632,225,226,219,47,2.345984428,3,65,2.768994265,100,67.13370553,32.86629447
2173,73,1184,242,215,383,76,2.775617995,7,66,3.68684374,100,67.04112603,32.95887397
2756,44,1684,280,397,280,71,3.537288435,4,82,4.203786805,100,50.61829734,49.38170266
2815,72,1833,320,267,260,63,3.978743829,4,66,3.816322581,100,45.00117081,54.99882919
2548,57,1317,331,392,388,63,3.837441067,11,77,4.971170537,100,51.53909293,48.46090707
2055,52,1098,365,235,232,73,6.465336638,14,69,4.907258334,100,39.25073286,60.74926714
2699,89,1749,224,305,265,67,4.857628354,13,96,3.400028976,100,38.07089526,61.92910474
2987,49,1922,359,316,288,53,4.198107013,5,76,3.291921336,100,39.14917161,60.85082839
2946,63,1816,263,363,358,83,2.986351634,3,90,4.238778667,100,52.86057479,47.13942521
2300,100,1224,331,321,277,47,5.631799028,18,80,4.33037944,100,40.09521867,59.90478133
2949,50,1958,253,385,244,59,4.237229649,5,61,3.525087359,100,39.46904071,60.53095929
2272,78,1021,383,360,349,81,5.660757564,5,63,4.780071297,100,40.69817619,59.30182381
2886,89,1987,206,307,217,80,5.51231501,11,75,2.51211806,100,26.04034862,73.95965138
2468,94,1626,227,243,236,42,1.93515068,17,100,3.150393416,100,69.2702113,30.7297887
2771,100,1767,267,333,249,55,5.506882653,17,64,3.49358414,100,29.0752145,70.9247855
2257,71,1082,344,400,271,89,4.931004398,8,87,5.532884269,100,47.63114956,52.36885044
2815,87,1694,201,369,385,79,7.262535101,9,74,3.060415654,100,2.31067614,97.68932386
2356,78,1236,235,366,354,87,3.958209891,13,61,4.128278867,100,54.3064136,45.6935864
2661,73,1773,262,235,268,50,2.684478786,3,64,3.317267421,100,60.32268626,39.67731374
2874,100,1812,297,379,227,59,7.391368101,12,80,2.770088452,100,0.01,99.99
2965,79,1833,280,350,367,56,7.463709911,14,98,4.091259721,100,0.01,99.99
2870,70,1695,395,265,368,77,7.864339361,11,82,3.831280075,100,0.01,99.99
2558,76,1661,209,270,290,52,1.707497092,8,99,3.112834542,100,70.0021629,29.9978371
2902,62,1807,301,298,376,58,7.065184898,6,89,4.03040375,100,0.359752499,99.6402475
2553,62,1620,363,203,216,89,7.762946864,2,78,4.065935905,100,7.274486241,92.72551376
2223,61,1121,377,218,386,60,3.003045805,8,86,4.045037625,100,64.4988358,35.5011642
2116,58,1046,239,344,345,84,3.725427771,14,61,5.395162092,100,60.67764555,39.32235445
2462,91,1433,294,312,254,78,1.95944818,17,83,4.081747372,100,69.11760821,30.88239179
2076,80,1133,204,312,260,87,5.704262831,7,80,3.677216646,100,45.48731453,54.51268547
2550,84,1577,205,289,329,66,3.363032528,15,100,4.304532964,100,55.88321973,44.11678027
2186,80,1206,331,214,281,74,7.591375331,16,75,4.795468587,100,23.86271928,76.13728072
2587,63,1455,249,357,377,86,6.77117521,10,98,4.830528739,100,19.17154877,80.82845123
2330,93,1285,335,333,224,60,5.392642668,4,82,4.573237164,100,41.54791501,58.45208499
2647,90,1610,315,265,291,76,6.158353314,6,71,4.289853731,100,24.75920111,75.24079889
2225,59,1246,268,275,309,68,6.18556186,2,96,4.385666941,100,36.7210799,63.2789201
1876,48,1060,216,232,265,55,4.087850717,10,76,5.032506419,100,62.70047821,37.29952179
2574,100,1554,303,266,286,65,5.00938311,3,60,3.733952637,100,39.55499122,60.44500878
2965,94,1932,238,251,380,70,7.270304901,3,62,3.334801702,100,0.01,99.99
2757,77,1696,344,269,303,68,5.483262327,15,80,3.569404808,100,29.69062073,70.30937927
2899,63,1776,347,286,339,88,5.153364296,13,66,4.124713374,100,29.93628941,70.06371059
2092,90,1015,373,215,334,65,6.086217078,3,92,4.920986243,100,41.59480538,58.40519462
2555,41,1435,367,324,304,84,5.215502215,4,68,4.331747735,100,37.76586628,62.23413372
3006,91,1917,398,301,254,45,7.402339321,3,64,3.395046537,100,0.01,99.99
2609,76,1441,389,331,290,82,5.306459317,14,80,3.967362838,100,35.52161363,64.47838637
2457,46,1444,260,280,367,60,5.100265928,13,81,3.888853765,100,41.36817265,58.63182735
2152,65,1119,299,341,248,80,3.842917807,4,75,3.784205712,100,59.22643627,40.77356373
2328,50,1138,320,381,388,51,4.060242275,2,63,3.917996177,100,54.00536244,45.99463756
2550,98,1431,393,353,201,74,3.944072254,10,79,3.399610936,100,50.6740959,49.3259041
2547,92,1402,263,322,382,86,5.693337113,11,88,3.940585509,100,32.89361579,67.10638421
2235,50,1336,237,264,281,67,3.661714148,16,84,3.814286546,100,59.05325573,40.94674427
2601,89,1728,235,272,237,40,5.092758866,6,61,2.574914693,100,38.08069317,61.91930683
2630,86,1576,350,329,224,65,6.047510412,12,72,3.727827052,100,26.6777754,73.3222246
2660,40,1532,256,390,382,60,2.098959951,4,74,4.103301698,100,65.49994834,34.50005166
2715,83,1650,346,275,316,45,5.864339178,16,61,4.086333486,100,26.31135549,73.68864451
2309,96,1391,254,230,279,59,7.868473956,6,62,3.879711864,100,16.29469936,83.70530064
2527,67,1569,212,299,329,51,4.327764666,3,65,3.421778109,100,47.41510641,52.58489359
2463,77,1600,234,218,251,83,7.811989004,16,94,3.287436516,100,10.65329278,89.34670722
2293,45,1321,302,212,345,68,6.047619487,14,97,4.334386246,100,36.19570305,63.80429695
2413,46,1270,305,395,342,55,6.894885808,16,81,4.85233032,100,23.62752809,76.37247191
2147,97,1061,317,257,366,49,7.027322693,17,71,4.44695927,100,31.12917323,68.87082677
2217,74,1169,229,295,382,68,4.057174791,16,78,4.226025155,100,56.16146035,43.83853965
2989,83,1872,266,330,395,43,1.850109022,15,61,3.810336764,100,63.58882653,36.41117347
3101,51,1993,361,285,346,65,4.190262236,7,84,3.921636337,100,36.75108764,63.24891236
2955,42,1947,353,312,236,65,3.817308068,3,93,3.679209054,100,44.00065815,55.99934185
2545,54,1396,341,312,352,90,7.962579569,16,81,5.072491071,100,2.943330591,97.05666941
2613,94,1541,286,309,343,40,4.977936184,18,99,3.104517065,100,38.88411977,61.11588023
2242,52,1195,265,376,294,60,2.426310612,10,92,4.344760999,100,68.51534427,31.48465573
2885,68,1814,380,286,267,70,7.798012475,8,67,4.077986498,100,0.01,99.99
2024,44,1182,218,293,201,86,6.063431921,8,96,4.642157297,100,43.63580513,56.36419487
2667,61,1781,287,287,209,42,1.509223878,2,86,2.789705348,100,70.36070331,29.63929669
2576,53,1537,353,269,292,72,5.361240704,6,63,5.052258307,100,35.49342509,64.50657491
2818,78,1624,265,361,400,90,2.55022173,14,97,4.421459604,100,59.10207175,40.89792825
2238,62,1208,288,392,224,64,3.009560949,2,65,4.026312861,100,64.19703617,35.80296383
2896,77,1900,238,351,269,61,1.782038065,13,95,3.223337659,100,65.3315611,34.6684389
2789,86,1743,367,231,291,71,6.823503796,12,66,3.801760564,100,11.867318,88.132682
1978,64,1036,349,231,228,70,6.928073531,17,98,5.184030699,100,37.39522401,62.60477599
2392,45,1323,354,247,348,75,3.607002333,8,70,4.410906794,100,56.67519295,43.32480705
2268,73,1263,336,246,291,59,6.881854069,6,93,3.999359629,100,28.49099126,71.50900874
3040,76,1858,398,386,282,40,7.946074186,14,82,4.275887999,100,0.01,99.99
3033,60,1833,311,392,379,58,2.850249043,5,82,3.644882849,100,52.97180189,47.02819811
2861,65,1732,357,273,349,85,3.753431383,12,82,4.066894226,100,46.4228964,53.5771036
2879,49,1839,233,300,400,58,2.342380343,5,69,3.744067502,100,60.31082606,39.68917394
2942,66,1941,201,322,361,51,2.888793803,8,61,3.359518241,100,54.01387172,45.98612828
2887,75,1830,258,280,373,71,6.46120804,16,98,3.652718575,100,13.52426586,86.47573414
2259,88,1105,365,369,271,61,2.824042689,16,100,4.947469838,100,65.21857431,34.78142569
2447,91,1276,325,318,393,44,6.05536075,14,83,4.891969347,100,31.70862425,68.29137575
2289,77,1260,289,369,239,55,4.890332897,3,80,5.188770495,100,47.21382781,52.78617219
3125,99,1973,329,372,280,72,3.695778285,15,79,3.51993644,100,42.0961907,57.9038093
2225,64,997,361,332,381,90,5.136603139,17,100,5.912798387,100,46.50275161,53.49724839
1949,71,704,585,308,206,75,2.204836781,2,86,7.25021732,100,73.87720183,26.12279817
1709,79,626,310,256,376,62,1.883698612,17,81,5.101722883,100,79.10756863,20.89243137
1910,59,852,292,316,321,70,5.421426443,15,90,5.880570941,100,51.96134738,48.03865262
2036,89,881,549,210,244,63,1.730252494,10,78,5.216774521,100,76.04123056,23.95876944
1937,66,667,501,274,389,40,6.63529482,9,99,6.422077517,100,41.22623139,58.77376861
1901,57,672,571,213,316,72,5.572841337,11,93,6.897641793,100,50.94070184,49.05929816
1943,82,983,378,217,211,72,7.120043081,2,86,5.507502256,100,36.90070157,63.09929843
2138,87,966,513,259,230,83,5.992743664,7,92,6.746026635,100,40.88043989,59.11956011
2096,57,880,519,288,289,63,3.260404764,5,92,6.254405776,100,64.54091176,35.45908824
1593,47,676,258,317,214,81,5.88993957,17,71,6.226174352,100,56.89054005,43.10945995
1943,42,730,590,273,262,46,7.518077247,10,89,7.568178854,100,33.20144733,66.79855267
1781,41,811,212,366,268,83,2.380608337,7,97,5.763407149,100,75.22768188,24.77231812
1885,46,919,447,214,213,46,5.27969314,17,70,3.681021889,100,53.96141882,46.03858118
1819,79,807,330,333,223,47,2.100589977,6,92,4.852123349,100,76.47300022,23.52699978
1960,74,771,307,351,380,77,7.767896247,18,60,5.515476196,100,30.53308047,69.46691953
1848,44,720,437,240,327,80,7.599052962,6,76,6.458597003,100,35.95686097,64.04313903
1987,96,799,311,331,384,66,5.730278884,15,80,5.004683927,100,47.68969252,52.31030748
1676,45,761,318,261,221,70,2.782313124,3,99,4.910746257,100,74.57841337,25.42158663
2177,47,934,520,384,227,65,2.508940536,2,71,5.755739014,100,68.86489707,31.13510293
1735,82,764,213,258,361,57,2.62821905,11,76,5.214161731,100,74.54798011,25.45201989
2080,47,929,455,203,380,66,4.822191411,8,63,6.621066983,100,52.66460072,47.33539928
1917,91,749,532,235,226,84,5.441874354,14,82,6.487715,100,51.62242133,48.37757867
1787,49,730,325,379,249,55,5.96368012,14,61,6.079373256,100,51.15204523,48.84795477
1990,82,686,472,312,370,68,6.102070811,4,76,6.893123937,100,44.22532637,55.77467363
1985,66,881,361,236,372,69,4.226865076,8,96,5.923349496,100,59.39557093,40.60442907
1908,81,654,544,240,322,67,2.941014554,5,75,6.988325716,100,69.84115448,30.15884552
2020,84,814,301,384,352,85,1.536744943,15,66,5.399901239,100,77.40464143,22.59535857
2029,92,868,409,260,341,59,2.692933271,14,62,6.275084546,100,69.69732354,30.30267646
1578,45,704,209,285,268,67,7.27109621,16,83,6.763887761,100,47.70547167,52.29452833
2065,63,878,451,290,295,88,3.440246406,7,97,5.942198938,100,63.74497079,36.25502921
2048,68,945,387,300,297,51,3.31888798,9,63,5.931896001,100,64.99264584,35.00735416
2171,48,757,593,329,380,64,1.937991538,17,63,6.847839669,100,72.89541673,27.10458327
1788,54,772,204,322,392,44,5.548722239,5,60,6.129652001,100,54.22572383,45.77427617
2058,61,837,434,334,330,62,7.260528224,6,61,5.06404615,100,31.8854815,68.1145185
1998,90,935,219,309,389,56,6.387541802,6,65,5.06075485,100,41.72238441,58.27761559
2022,99,900,427,260,251,85,5.409091909,15,93,5.323742117,100,49.27542676,50.72457324
1853,47,671,483,367,207,78,6.803917146,3,78,6.961675978,100,42.35456514,57.64543486
1635,75,768,236,204,298,54,3.728658347,12,99,5.04438759,100,69.68751439,30.31248561
1658,66,670,277,323,254,68,3.367772462,4,73,5.552424573,100,71.41745549,28.58254451
2252,56,995,509,295,336,61,6.144065632,13,98,7.123857607,100,36.12990472,63.87009528
2070,91,763,385,366,399,66,2.886257529,8,75,5.184190077,100,67.87557255,32.12442745
1831,69,965,205,231,294,67,6.3036421,11,97,5.762496536,100,47.076499,52.923501
1942,55,653,418,366,368,82,5.777196987,17,62,5.546734864,100,48.43995635,51.56004365
2020,68,934,388,283,301,46,5.038715045,16,68,5.556359081,100,52.37834171,47.62165829
2009,60,760,411,379,356,43,7.158089873,12,65,5.910180799,100,34.46103041,65.53896959
2280,97,927,484,349,380,43,3.965903925,16,71,5.704204005,100,55.69940005,44.30059995
1473,44,634,227,282,224,62,1.528177972,16,73,5.082282287,100,83.62209271,16.37790729
2066,44,896,383,334,340,69,3.798653512,4,96,6.145587103,100,61.12342589,38.87657411
2102,58,869,461,306,343,65,7.205465513,13,85,6.34167481,100,30.65967114,69.34032886
1952,99,686,504,317,280,66,4.735949009,17,80,5.505886624,100,56.40946048,43.59053952
2115,50,643,562,376,400,84,5.733894226,14,80,6.630686827,100,44.03434272,55.96565728
1787,74,773,335,344,202,59,5.040435873,18,61,5.698385288,100,57.9671194,42.0328806
1814,100,782,370,242,238,82,5.052117712,10,97,5.608519624,100,57.18725597,42.81274403
1958,43,874,444,244,281,72,4.94334701,16,89,5.493715093,100,54.66363654,45.33636346
1936,41,647,581,396,206,65,2.329263903,4,82,5.493068805,100,73.55866546,26.44133454
1937,81,751,453,248,314,90,3.078695081,16,95,6.27597662,100,68.47548029,31.52451971
2017,45,813,521,348,228,62,3.342387207,13,94,6.167959139,100,65.39498769,34.60501231
2098,96,914,474,293,252,69,4.610233732,11,74,5.344953607,100,54.13721164,45.86278836
2217,78,966,466,278,348,81,3.575460345,17,70,7.074420054,100,59.81535696,40.18464304
2071,54,954,485,276,250,52,2.052480919,17,84,4.386661197,100,73.55070935,26.44929065
1980,93,923,384,218,313,49,1.824102253,13,91,6.233197861,100,75.92975777,24.07024223
2130,43,921,472,390,218,86,3.807716592,7,81,6.403302794,100,59.78285241,40.21714759
2103,100,807,597,245,279,75,5.496873173,7,80,5.095160382,100,46.60059063,53.39940937
1786,65,639,494,328,214,46,6.359800285,9,62,7.071769397,100,48.04924801,51.95075199
1838,70,627,559,258,254,70,4.729196242,2,100,5.588338326,100,58.93907175,41.06092825
2022,41,951,444,240,304,42,3.894021747,13,79,6.370780253,100,61.13016456,38.86983544
1980,42,896,215,391,349,87,4.379075329,11,95,5.449207698,100,58.46934181,41.53065819
1874,76,772,493,252,219,62,3.065881194,6,81,6.913620375,100,69.56078429,30.43921571
1835,82,696,504,258,255,40,2.358252313,9,86,6.929932389,100,74.58010804,25.41989196
1992,69,826,396,254,398,49,4.340063075,7,75,5.989556294,100,58.43821595,41.56178405
2192,55,832,567,380,296,62,1.712111719,7,95,6.91840242,100,74.08394719,25.91605281
1800,91,715,300,298,346,50,1.859539518,14,72,5.029853631,100,78.15450143,21.84549857
1874,83,947,247,207,320,70,7.846174346,12,68,5.270729225,100,32.88120519,67.11879481
2037,74,845,320,360,359,79,1.548798127,13,81,6.323402324,100,76.97339262,23.02660738
1819,91,924,274,249,210,71,1.8529328,14,74,4.595294925,100,77.84069962,22.15930038
1819,75,901,261,271,228,83,4.821916579,2,91,5.19869641,100,58.69664034,41.30335966
1963,80,671,420,392,319,81,3.288777203,2,73,7.082441648,100,66.53350479,33.46649521
1977,55,754,373,367,365,63,7.25850891,5,100,4.821832554,100,34.51145676,65.48854324
2105,91,756,496,396,305,61,7.518145528,14,75,7.523093722,100,27.52621003,72.47378997
1880,71,910,248,325,269,57,3.602108967,3,68,4.452636545,100,66.09043773,33.90956227
1889,94,801,311,307,315,61,7.115594667,5,83,5.922256018,100,38.74399303,61.25600697
1745,89,757,221,275,355,48,6.067971222,10,60,4.615219234,100,51.6677915,48.3322085
1921,57,875,256,302,344,87,3.574837582,7,97,4.673012835,100,65.49903098,34.50096902
2085,89,918,388,262,338,90,6.374012135,8,90,4.679221488,100,39.24784323,60.75215677
1734,99,639,419,280,221,76,6.892275504,14,91,6.567140331,100,45.50357199,54.49642801
2123,88,789,532,264,396,54,6.589293251,11,85,7.802794529,100,35.8195492,64.1804508
1950,90,981,230,342,247,60,6.382953438,16,62,5.107052642,100,43.12352919,56.87647081
1880,63,854,345,281,274,63,6.911336558,18,70,6.310743626,100,40.7449396,59.2550604
1689,93,624,376,216,313,67,7.418482586,5,80,5.890537106,100,42.99161837,57.00838163
1935,55,981,319,231,272,77,3.015086769,11,91,5.251722693,100,68.93819828,31.06180172
2143,47,755,527,397,373,44,6.055799124,2,88,6.88085736,100,40.37009155,59.62990845
1971,95,642,498,346,344,46,3.034839581,7,73,8.303888184,100,67.96377511,32.03622489
1856,44,817,312,296,337,50,4.807117003,11,78,6.846267622,100,57.86613373,42.13386627
1847,49,635,382,334,367,80,3.62014512,16,84,6.038343993,100,66.43204524,33.56795476
1881,54,786,448,323,224,46,4.571883783,14,89,6.868325701,100,58.94573158,41.05426842
1906,85,728,397,244,388,64,6.282263244,8,71,7.023478392,100,45.1544867,54.8455133
2096,81,863,597,206,285,64,2.936871148,3,82,5.429842202,100,67.00741225,32.99258775
1811,53,858,352,220,275,53,2.041253359,13,83,4.846345478,100,76.91276398,23.08723602
2280,77,912,582,384,277,48,5.549006327,10,69,5.977464318,100,41.45766882,58.54233118
1874,75,604,524,322,296,53,2.239811668,4,92,7.128581874,100,74.78922173,25.21077827
2329,90,925,521,342,372,79,4.626561984,5,70,4.530357772,100,48.96700524,51.03299476
2123,70,981,358,317,321,76,7.956731125,3,68,4.951957851,100,22.52498472,77.47501528
2078,77,882,353,346,378,42,7.081491643,17,76,6.300116176,100,32.757489,67.242511
1974,45,754,400,314,396,65,7.109922362,9,65,7.030927872,100,35.96772105,64.03227895
2070,40,954,362,260,391,63,7.967436702,6,76,6.456181956,100,24.28197852,75.71802148
2201,84,944,339,393,391,50,2.050073151,11,71,4.751749954,100,71.87894264,28.12105736
1901,42,789,458,256,304,52,5.500957219,17,91,6.841154516,100,51.59514742,48.40485258
1976,98,848,266,366,331,67,5.728081606,17,72,5.33255154,100,47.91474501,52.08525499
1848,94,789,263,362,295,45,1.7610165,5,70,6.027369446,100,77.98826801,22.01173199
1999,62,802,506,209,345,75,5.628711467,3,95,6.221959748,100,47.96159201,52.03840799
1921,59,633,405,367,381,76,5.284916258,7,78,6.542823711,100,52.76784188,47.23215812
1876,55,954,278,224,309,56,3.437110864,13,75,5.290696464,100,67.0657615,32.9342385
1847,81,841,338,273,234,80,6.645005209,16,75,5.528682912,100,44.05663008,55.94336992
2136,63,945,386,314,339,89,3.805048555,15,80,5.775962577,100,59.6760024,40.3239976
2018,85,679,594,342,235,83,5.637747727,11,82,7.965329177,100,47.24337333,52.75662667
1749,70,814,279,325,205,56,7.750810021,11,97,4.849907573,100,38.23327912,61.76672088
2108,81,898,537,303,230,59,3.624029294,12,81,5.471179346,100,61.69435004,38.30564996
1765,65,762,360,222,285,71,2.613868466,7,93,6.473730461,100,73.98858869,26.01141131
2260,54,948,411,383,395,69,2.929355062,8,100,4.914813456,100,64.47993754,35.52006246
1746,79,641,480,279,217,50,7.522461828,12,64,7.366309714,100,40.07960259,59.92039741
2151,78,840,564,314,267,88,2.973245393,13,70,6.798354316,100,65.75159163,34.24840837
1991,74,786,372,355,331,73,5.410026858,14,78,5.440268768,100,50.12830721,49.87169279
2144,83,792,492,388,303,86,4.310449375,10,66,5.792512581,100,55.63442649,44.36557351
1891,51,877,285,259,354,65,7.175925711,3,68,5.227902589,100,38.19032329,61.80967671
2163,40,981,507,351,227,57,1.87604387,9,97,6.183427165,100,73.38957681,26.61042319
1836,78,672,429,232,382,43,4.728684409,15,66,7.168076853,100,58.90767876,41.09232124
1741,80,854,291,236,233,47,5.274014058,10,73,5.19474216,100,57.40239243,42.59760757
2136,92,959,275,332,389,89,7.707232862,2,68,5.778455359,100,24.41962197,75.58037803
2237,40,817,545,382,369,84,2.662844982,14,64,5.055506344,100,66.94337352,33.05662648
1909,63,753,308,374,349,62,2.263680971,10,90,6.506733981,100,74.160778,25.839222
1712,47,632,344,366,243,80,7.638153339,4,89,6.274794687,100,40.43481397,59.56518603
1939,96,933,304,242,304,60,1.669951912,15,86,5.937295466,100,77.36012736,22.63987264
1655,67,621,235,360,331,41,7.960373657,12,79,6.630109856,100,39.85677057,60.14322943
1628,40,751,267,308,220,42,6.178710107,3,82,5.112527232,100,54.05970277,45.94029723
2223,49,997,371,392,345,69,7.815347239,8,98,4.956727678,100,20.1027338,79.8972662
1962,100,691,568,329,221,53,6.085367745,2,82,7.408425259,100,45.14023861,54.85976139
1912,55,952,275,352,206,72,6.735816011,3,91,4.751000866,100,41.14079076,58.85920924
1987,69,936,256,347,338,41,3.946662045,5,83,5.143338692,100,61.52407114,38.47592886
1738,66,630,316,312,327,87,7.814037666,3,80,6.870631345,100,37.99129378,62.00870622
1998,98,635,519,318,383,45,2.108377549,13,100,7.017936016,100,73.95862568,26.04137432
2089,84,804,353,382,394,72,1.835323335,10,72,5.808053129,100,74.69535179,25.30464821
1643,82,620,273,209,377,82,5.518961559,8,65,6.783355866,100,57.99978594,42.00021406
2104,52,866,590,325,212,59,4.167696549,4,64,6.660016554,100,57.47191726,42.52808274
1731,77,758,344,217,268,67,3.003307508,2,66,6.321193831,100,72.259486,27.740514
1858,77,620,430,369,300,62,5.695440427,10,78,6.721415896,100,51.14554375,48.85445625
2226,91,866,585,389,222,73,1.683816431,14,66,6.308269722,100,73.95933418,26.04066582
2001,48,856,354,353,331,59,1.932384498,17,79,5.646832443,100,75.19037343,24.80962657
1729,93,607,337,353,268,71,3.710907111,17,72,5.979293588,100,68.0696223,31.9303777
1728,94,622,239,330,353,90,1.566056917,12,78,6.012150591,100,80.46980716,19.53019284
1567,52,274,501,493,200,47,3.869101639,13,65,8.754408081,100,70.11614185,29.88385815
1357,70,226,488,216,315,42,7.170762623,12,71,7.771686763,100,55.87924028,44.12075972
1375,49,130,340,435,357,64,4.540272698,2,77,9.12643401,100,70.32243556,29.67756444
